!Title,Organisation / Program,Link To More Details,Status,Location,Description,Skills,Position,Experience,Degree
Fellows Program for AI Safety,Anthropic,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellows%20Program%20for%20AI%20Safety&site=https%3A%2F%2Falignment.anthropic.com%2F2024%2Fanthropic-fellows-program%2F,Rolling,San Francisco Bay Area.USA,(see original source),Research,Fellowship,Multiple experience levels,Undergraduate degree or less
Futurekind AI Fellowship,Electric Sheep,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Futurekind%20AI%20Fellowship&site=https%3A%2F%2Fwww.electricsheep.is%2Ffuturekind,"Now open, closes Apr '26",Remote.Global,(see original source),Strategy,Fellowship,Multiple experience levels,Undergraduate degree or less
Summer Research Fellowship,Center on Long-term Risk,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Summer%20Research%20Fellowship&site=https%3A%2F%2Flongtermrisk.org%2Fsummer-research-fellowship%2F,Closed Mar '26,"London.UK, Remote.Global",(see original source),"Research, Other",Internship,Entry-level,Undergraduate degree or less
Grant Programs,Future of Life Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Grant%20Programs&site=https%3A%2F%2Ffutureoflife.org%2Four-work%2Fgrantmaking-work%2F,Closed Feb '26,Remote.Global,(see original source),Research,Funding,Multiple experience levels,Undergraduate degree or less
ML Alignment Theory Scholars (MATS) Program,MATS,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=ML%20Alignment%20Theory%20Scholars%20%28MATS%29%20Program&site=https%3A%2F%2Fwww.matsprogram.org%2F,Closed Jan '26; Opens Apr '26,"San Francisco Bay Area.USA, Remote.Global",(see original source),"Research, Software engineering",Internship,Multiple experience levels,Undergraduate degree or less
Visiting Fellows Program,Constellation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Visiting%20Fellows%20Program&site=https%3A%2F%2Fwww.constellation.org%2Fprograms%2Fresearcher-program,Closed Jan '26,San Francisco Bay Area.USA,(see original source),Research,Funding,Multiple experience levels,Undergraduate degree or less
AI Safety Research Fellowship,Algoverse,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=AI%20Safety%20Research%20Fellowship&site=https%3A%2F%2Falgoverseairesearch.org%2Fai-safety-fellowship,Closed Jan '26,Remote.Global,(see original source),"Research, Software engineering",Fellowship,Entry-level,Undergraduate degree or less
Astra Fellowship,Constellation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Astra%20Fellowship&site=https%3A%2F%2Fwww.constellation.org%2Fprograms%2Fastra-fellowship,Closed Oct '25,San Francisco Bay Area.USA,(see original source),Research,Fellowship,Multiple experience levels,Undergraduate degree or less
Internships,"University of California, Center for Human-Compatible Artificial Intelligence",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Internships&site=https%3A%2F%2Fhumancompatible.ai%2Fjobs%23chai-internships,Closed Oct '25,San Francisco Bay Area.USA,(see original source),"Engineering, Research",Internship,Entry-level,Undergraduate degree or less
Mentorship for Alignment Research Students,Cambridge AI Safety Hub,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Mentorship%20for%20Alignment%20Research%20Students&site=https%3A%2F%2Fwww.cambridgeaisafety.org%2Fmars,Closed Oct '25,Cambridge.UK,(see original source),Research,Internship,Entry-level,Undergraduate degree or less
Research Fellowship,Dovetail,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Research%20Fellowship&site=https%3A%2F%2Fdovetailresearch.org%2F,Closed Sep '25,Remote.UK,(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
Studentships,Safe & Trusted AI,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Studentships&site=https%3A%2F%2Fsafeandtrustedai.org%2Fprogramme%2F,Closed Aug '25,London.UK,(see original source),"Research, Policy",Internship,Entry-level,Master's degree
Supervised Program for Alignment Research,Kairos,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Supervised%20Program%20for%20Alignment%20Research&site=https%3A%2F%2Fsparai.org%2F,Closed Aug '25; Opens spring '26,San Francisco Bay Area.USA,(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
London AI Safety Research Labs,Arcadia Impact,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=London%20AI%20Safety%20Research%20Labs&site=https%3A%2F%2Fwww.lasrlabs.org%2F,Closed Apr '25,London.UK,(see original source),Research,Full-time,Junior (1-4 years experience),Undergraduate degree or less
Summer Research Fellowship,Principles of Intelligent Behavior in Biological and Social Systems,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Summer%20Research%20Fellowship&site=https%3A%2F%2Fpibbss.ai%2Ffellowship%2F,Closed Jan '25,Remote.Global,(see original source),Research,"Fellowship, Internship",Entry-level,Doctoral degree
Cooperative AI Research Grants,Cooperative AI Foundation,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Cooperative%20AI%20Research%20Grants&site=https%3A%2F%2Fwww.cooperativeai.com%2Fgrants%2Fcooperative-ai,Closed Jan '25,Remote.Global,(see original source),Research,Funding,Multiple experience levels,Undergraduate degree or less
Various Fellowships,Sandia National Laboratories,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Various%20Fellowships&site=https%3A%2F%2Fwww.sandia.gov%2Fcareers%2Fcareer-possibilities%2Fstudents-and-postdocs%2Ffellowships%2F,Rolling,"Albuquerque, NM.USA",(see original source),"Data, Research",Fellowship,Junior (1-4 years experience),Doctoral degree
Foresight Fellowship,Foresight Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Foresight%20Fellowship&site=https%3A%2F%2Fforesight.org%2Fforesight-fellowships%2F,"Now open, closes Jul '26",Remote.Global,(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
Data Science and Data Engineering Fellowship,Faculty,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Data%20Science%20and%20Data%20Engineering%20Fellowship&site=https%3A%2F%2Ffaculty.ai%2Ffellowship-fellows%2F,Closed Mar '26,London.UK,(see original source),Data,Fellowship,Entry-level,Master's degree
Fellowship / Internships,Flagship Pioneering,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Fellowship%20%2F%20Internships&site=https%3A%2F%2Fboards.greenhouse.io%2Fflagshippioneeringinc%2Fjobs%2F6983446002%3Fgh_jid%3D6983446002,Closed Jan '26,Boston metro area.USA,(see original source),Research,Fellowship,Entry-level,Undergraduate degree or less
Doctoral / Post-Doc Fellowships,"ETH Zürich, AI Center",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Doctoral%20%2F%20Post-Doc%20Fellowships&site=https%3A%2F%2Fai.ethz.ch%2Feducation%2Fphd-and-postdoc-programs.html,Closed Nov '25,Zurich.Switzerland,(see original source),Research,Fellowship,Entry-level,Master's degree
Internships / Residencies,Microsoft,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Internships%20%2F%20Residencies&site=https%3A%2F%2Fcareers.microsoft.com%2Fv2%2Fglobal%2Fen%2Fstudents,Closed Apr '25,Seattle metro area.USA,(see original source),Research,Internship,Entry-level,Undergraduate degree or less
Enrichment Scheme,Alan Turing Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Enrichment%20Scheme&site=https%3A%2F%2Fwww.turing.ac.uk%2Fwork-turing%2Fstudentships%2Fenrichment,Closed Mar '25,"London.UK, Remote.UK",(see original source),Research,"Internship, Funding",Entry-level,Master's degree
Turing Fellow Scheme,Alan Turing Institute,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Turing%20Fellow%20Scheme&site=https%3A%2F%2Fwww.turing.ac.uk%2Fpeople%2Ffellows%2Fturing-fellows,Closed Sep '23; Opens spring '26,.UK,(see original source),Software engineering,Fellowship,Entry-level,Doctoral degree
Student Researcher Program,Google DeepMind,https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=Student%20Researcher%20Program&site=https%3A%2F%2Fwww.deepmind.com%2Fstudent-researcher-program,Open,"Waterloo.Canada, Montreal.Canada, Toronto.Canada",(see original source),Research,Internship,Entry-level,Undergraduate degree or less
CyberFirst University Bursary,"UK Government, GCHQ",https://jb.80000hours.org/api/miniboard/fellowships_masterlist?name=CyberFirst%20University%20Bursary&site=https%3A%2F%2Fwww.gchq-careers.co.uk%2Four-careers%2Fearly-careers%2Fstudent-bursary.html,Rolling,Remote.UK,(see original source),"Policy, Engineering, Other",Internship,Entry-level,Undergraduate degree or less
